OSEC-DND,AGENCY,DND Proper (Office of the Secretary),DND,D,Defense
GA,AGENCY,Government Arsenal,DND,D,Defense
NDCP,AGENCY,National Defense College of the Philippines,DND,SS,Social Services
OCD,AGENCY,Office of Civil Defense,DND,GPS,General Public Services
AFP-PVAO,SUBAGENCY,Philippine Veterans Affairs Office (Proper),DND,SS,Social Services
PVAO-VMMC,SUBAGENCY,Veterans Memorial Medical Center,DND,SS,Social Services
AFP-PSG,SUBAGENCY,Presidential Security Group,DND
AFP-PA,SUBAGENCY,Philippine Army (Land Forces),DND,D,Defense
AFP-PAF,SUBAGENCY,Philippine Air Force (Air Force),DND,D,Defense
AFP-RRAP,SUBAGENCY,Retirees and Reservists Affairs Program,DND
AFP-EB,SUBAGENCY,Exercise Balikatan,DND
AFP-PN,SUBAGENCY,Philippine Navy (Naval Forces),DND,D,Defense
AFP-GHQ,SUBAGENCY,"General Headquarters, AFP and AFP Wide Service Support Units (AFPWSSUS)",DND,D,Defense
OSEC-DPWH,AGENCY,Office of the Secretary,DPWH,ES,Economic Services
OSEC-DOST,AGENCY,Office of the Secretary,DOST,ES,Economic Services
ASTI,AGENCY,Advanced Science and Technology Institute,DOST,ES,Economic Services
FNRI,AGENCY,Food and Nutrition Research Institute,DOST,ES,Economic Services
FPRDI,AGENCY,Forest Products Research and Development Institute,DOST,ES,Economic Services
ITDI,AGENCY,Industrial Technology Development Institute,DOST,ES,Economic Services
ICTO,AGENCY,Information and Communications Technology Office,DOST,ES,Economic Services
MIRDC,AGENCY,Metals Industry Research and Development Center,DOST,ES,Economic Services
NAST,AGENCY,National Academy of Science and Technology,DOST,ES,Economic Services
NRCP,AGENCY,National Research Council of the Philippines,DOST,ES,Economic Services
PAGASA,AGENCY,"Philippine Atmospheric, Geophysical and Astronomical Services Administration",DOST,GPS,General Public Services
PCAANRRD,AGENCY,"Philippine Council for Agriculture, Aquatic and Natural Resources Research and Development",DOST,ES,Economic Services
PCAFNRD,AGENCY,"Philippine Council for Agriculture, Forestry and Natural Resources Research and Development",DOST,ES,Economic Services
PCAMRD,AGENCY,Philippine Council for Aquatic and Marine Research and Development,DOST,ES,Economic Services
PCHRD,AGENCY,Philippine Council for Health Research and Development,DOST,ES,Economic Services
PCIEERD,AGENCY,"Philippine Council for Industry, Energy and Emerging Technology Research and Development",DOST,ES,Economic Services
PIVS,AGENCY,Philippine Institute of Volcanology and Seismology,DOST,GPS,General Public Services
PNRI,AGENCY,Philippine Nuclear Research Institute,DOST,ES,Economic Services
PSHS,AGENCY,Philippine Science High School,DOST,ES,Economic Services
PTRI,AGENCY,Philippine Textile Research Institute,DOST,ES,Economic Services
SEI,AGENCY,Science Education Institute,DOST,ES,Economic Services
